day,close
19710104,0.5369
19710105,0.5366
19710106,0.5365
19710107,0.5368
19710108,0.5371
19710111,0.5371
19710112,0.5371
19710113,0.5373
19710114,0.5372
19710115,0.5376
19710118,0.5379
19710119,0.5377
19710120,0.5381
19710121,0.5383
19710122,0.5386
19710125,0.5385
19710126,0.5388
19710127,0.5386
19710128,0.5387
19710129,0.5387
19710201,0.5386
19710202,0.5386
19710203,0.5386
19710204,0.5389
19710205,0.5384
19710208,0.5385
19710209,0.5386
19710210,0.5384
19710211,0.5381
19710216,0.5385
19710217,0.5387
19710218,0.5384
19710219,0.5385
19710222,0.5388
19710223,0.5387
19710224,0.5389
19710225,0.5385
19710226,0.5379
19710301,0.5383
19710302,0.5386
19710303,0.539
19710304,0.5382
19710305,0.5386
19710308,0.5385
19710309,0.5388
19710310,0.5385
19710311,0.5384
19710312,0.5385
19710315,0.5384
19710316,0.5384
19710317,0.5386
19710318,0.5386
19710319,0.5387
19710322,0.5387
19710323,0.5387
19710324,0.5386
19710325,0.5387
19710326,0.5387
19710329,0.5384
19710330,0.5388
19710331,0.5387
19710401,0.5388
19710402,0.5389
19710405,0.5385
19710406,0.5385
19710407,0.5386
19710408,0.5387
19710409,0.5387
19710412,0.5381
19710413,0.5378
19710414,0.5382
19710415,0.5379
19710416,0.5377
19710419,0.5367
19710420,0.5374
19710421,0.5378
19710422,0.5381
19710423,0.5373
19710426,0.5375
19710427,0.5379
19710428,0.5384
19710429,0.5383
19710430,0.5384
19710503,0.5385
19710504,0.5387
19710505,0.5465
19710506,0.5458
19710507,0.5479
19710510,0.5525
19710511,0.548
19710512,0.5493
19710513,0.5516
19710514,0.5515
19710517,0.5513
19710518,0.5517
19710519,0.5537
19710520,0.5577
19710521,0.5586
19710524,0.5573
19710525,0.5529
19710526,0.5514
19710527,0.5515
19710528,0.5514
19710601,0.5478
19710602,0.5509
19710603,0.5543
19710604,0.5545
19710607,0.5554
19710608,0.5559
19710609,0.5571
19710610,0.5573
19710611,0.5577
19710614,0.5577
19710615,0.5577
19710616,0.5578
19710617,0.5582
19710618,0.5579
19710621,0.558
19710622,0.5583
19710623,0.5598
19710624,0.5592
19710625,0.5586
19710628,0.5582
19710629,0.5588
19710630,0.5592
19710701,0.5592
19710702,0.5587
19710706,0.5587
19710707,0.5588
19710708,0.5586
19710709,0.5588
19710712,0.5586
19710713,0.5586
19710714,0.5604
19710715,0.5614
19710716,0.5628
19710719,0.5632
19710720,0.5628
19710721,0.5636
19710722,0.5644
19710723,0.5646
19710726,0.5644
19710727,0.5651
19710728,0.5646
19710729,0.5651
19710730,0.5651
19710802,0.5649
19710803,0.5652
19710804,0.5667
19710805,0.5675
19710806,0.5676
19710809,0.5737
19710810,0.5736
19710811,0.5745
19710812,0.5775
19710813,0.5773
19710823,0.5708
19710824,0.575
19710825,0.5773
19710826,0.5758
19710827,0.5751
19710830,0.575
19710831,0.5755
19710901,0.5758
19710902,0.5767
19710903,0.5772
19710907,0.5769
19710908,0.5764
19710909,0.5767
19710910,0.5777
19710913,0.5778
19710914,0.5802
19710915,0.5808
19710916,0.5805
19710917,0.5811
19710920,0.5863
19710921,0.5842
19710922,0.5861
19710923,0.5907
19710924,0.5901
19710927,0.5903
19710928,0.5901
19710929,0.5904
19710930,0.5896
19711001,0.5889
19711004,0.5882
19711005,0.5886
19711006,0.5897
19711007,0.5901
19711008,0.5899
19711012,0.5883
19711013,0.5876
19711014,0.5859
19711015,0.5863
19711018,0.5886
19711019,0.589
19711020,0.5895
19711021,0.5886
19711022,0.5865
19711026,0.587
19711027,0.5867
19711028,0.5864
19711029,0.5858
19711101,0.5865
19711103,0.5862
19711104,0.5858
19711105,0.5859
19711108,0.5852
19711109,0.5843
19711110,0.5841
19711111,0.5848
19711112,0.5855
19711115,0.5857
19711116,0.5859
19711117,0.5861
19711118,0.5849
19711119,0.5865
19711122,0.5874
19711123,0.5886
19711124,0.5908
19711126,0.5912
19711129,0.5908
19711130,0.5904
19711201,0.5921
19711202,0.5946
19711203,0.5981
19711206,0.6016
19711207,0.5986
19711208,0.5993
19711209,0.5979
19711210,0.5967
19711213,0.5971
19711214,0.6006
19720103,0.5977
19720104,0.5977
19720105,0.5976
19720106,0.599
19720107,0.5994
19720110,0.6012
19720111,0.602
19720112,0.6056
19720113,0.6081
19720114,0.6086
19720117,0.6095
19720118,0.6074
19720119,0.6086
19720120,0.6073
19720121,0.6075
19720124,0.6093
19720125,0.6098
19720126,0.6091
19720127,0.6091
19720128,0.609
19720131,0.6092
19720201,0.6107
19720202,0.6143
19720203,0.6127
19720204,0.6107
19720207,0.6111
19720208,0.6117
19720209,0.6128
19720210,0.6134
19720211,0.6131
19720214,0.6139
19720215,0.614
19720216,0.6197
19720217,0.6163
19720218,0.6164
19720222,0.6156
19720223,0.6164
19720224,0.615
19720225,0.6124
19720228,0.6134
19720229,0.6149
19720301,0.6149
19720302,0.6146
19720303,0.6143
19720306,0.616
19720307,0.6171
19720308,0.6188
19720309,0.6196
19720310,0.6192
19720313,0.6189
19720314,0.6178
19720315,0.6185
19720316,0.6177
19720317,0.5965
19720320,0.6163
19720321,0.617
19720322,0.6169
19720323,0.6158
19720324,0.6146
19720327,0.6165
19720328,0.6165
19720329,0.6169
19720330,0.6171
19720331,0.6174
19720403,0.6175
19720404,0.6169
19720405,0.6164
19720406,0.6164
19720407,0.6163
19720410,0.6163
19720411,0.6164
19720412,0.6168
19720413,0.6156
19720414,0.6155
19720417,0.6155
19720418,0.6123
19720419,0.612
19720420,0.6143
19720421,0.6136
19720424,0.6158
19720425,0.6154
19720426,0.6151
19720427,0.6154
19720428,0.615
19720501,0.6151
19720502,0.6145
19720503,0.6151
19720504,0.6154
19720505,0.6151
19720508,0.6148
19720509,0.6161
19720510,0.6163
19720511,0.6159
19720512,0.6153
19720515,0.6145
19720516,0.6139
19720517,0.6149
19720518,0.6151
19720519,0.6147
19720522,0.6151
19720523,0.6153
19720524,0.6156
19720525,0.6147
19720526,0.6153
19720530,0.6159
19720531,0.6157
19720601,0.6158
19720602,0.6155
19720605,0.6155
19720606,0.6156
19720607,0.6158
19720608,0.6161
19720609,0.6163
19720612,0.6176
19720613,0.6184
19720614,0.6178
19720615,0.6184
19720616,0.6173
19720619,0.6166
19720620,0.6157
19720621,0.6149
19720622,0.6128
19720623,0.6212
19720626,0.6216
19720627,0.6172
19720628,0.6195
19720629,0.6193
19720630,0.6206
19720703,0.6207
19720705,0.6205
19720706,0.6198
19720707,0.6206
19720710,0.62
19720711,0.6198
19720712,0.6204
19720713,0.6208
19720714,0.6207
19720717,0.6208
19720718,0.6195
19720719,0.617
19720720,0.618
19720721,0.6172
19720724,0.6166
19720725,0.6163
19720726,0.6167
19720727,0.616
19720728,0.6159
19720731,0.6159
19720801,0.6156
19720802,0.6147
19720803,0.6154
19720804,0.6154
19720807,0.6157
19720808,0.6152
19720809,0.6148
19720810,0.6142
19720811,0.6142
19720814,0.6147
19720815,0.6139
19720816,0.613
19720817,0.6126
19720818,0.612
19720821,0.6114
19720822,0.6133
19720823,0.6133
19720824,0.6136
19720825,0.6123
19720828,0.6127
19720829,0.613
19720830,0.6137
19720831,0.6132
19720901,0.6129
19720905,0.6131
19720906,0.6132
19720907,0.6143
19720908,0.6138
19720911,0.6132
19720912,0.6129
19720913,0.6133
19720914,0.6129
19720915,0.6125
19720918,0.6115
19720919,0.6122
19720920,0.6124
19720921,0.6123
19720922,0.6125
19720925,0.6121
19720926,0.6116
19720927,0.6115
19720928,0.6106
19720929,0.6104
19721002,0.6087
19721003,0.6088
19721004,0.6103
19721005,0.6114
19721006,0.6115
19721010,0.6109
19721011,0.6095
19721012,0.6092
19721013,0.6089
19721016,0.6095
19721017,0.6094
19721018,0.6104
19721019,0.6105
19721020,0.61
19721024,0.6083
19721025,0.61
19721026,0.6099
19721027,0.6099
19721030,0.6105
19721031,0.6101
19721101,0.6107
19721102,0.6109
19721103,0.6112
19721106,0.6104
19721108,0.6096
19721109,0.6098
19721110,0.6095
19721113,0.6093
19721114,0.6094
19721115,0.6098
19721116,0.6094
19721117,0.6094
19721120,0.6101
19721121,0.6104
19721122,0.6105
19721124,0.6105
19721127,0.6119
19721128,0.6114
19721129,0.6121
19721130,0.6129
19721201,0.6133
19721204,0.6123
19721205,0.6125
19721206,0.6116
19721207,0.612
19721208,0.6119
19721211,0.6117
19721212,0.6114
19730102,0.61
19730103,0.6105
19730104,0.61
19730105,0.6101
19730108,0.6098
19730109,0.6099
19730110,0.611
19730111,0.6105
19730112,0.6099
19730115,0.609
19730116,0.609
19730117,0.609
19730118,0.6085
19730119,0.6087
19730122,0.6127
19730123,0.6116
19730124,0.6148
19730125,0.614
19730126,0.6146
19730129,0.6185
19730130,0.62
19730131,0.62
19730201,0.6204
19730202,0.619
19730205,0.6205
19730206,0.6203
19730207,0.6209
19730208,0.6211
19730209,0.6218
19730213,0.6604
19730214,0.6622
19730215,0.6623
19730216,0.6602
19730220,0.659
19730221,0.6603
19730222,0.671
19730223,0.6824
19730226,0.6778
19730227,0.6852
19730228,0.6881
19730301,0.6986
19730302,0.709
19730305,0.6958
19730306,0.697
19730307,0.7008
19730308,0.7025
19730309,0.7034
19730312,0.6999
19730313,0.6948
19730314,0.6944
19730315,0.6982
19730316,0.69
19730319,0.6922
19730320,0.6923
19730321,0.6917
19730322,0.6918
19730323,0.6923
19730326,0.6936
19730327,0.6925
19730328,0.6915
19730329,0.6906
19730330,0.6884
19730402,0.6845
19730403,0.6841
19730404,0.6915
19730405,0.6905
19730406,0.6886
19730409,0.6882
19730410,0.6882
19730411,0.6913
19730412,0.691
19730413,0.6907
19730416,0.6874
19730417,0.6929
19730418,0.6922
19730419,0.6911
19730420,0.6912
19730423,0.691
19730424,0.6899
19730425,0.6901
19730426,0.6881
19730427,0.6888
19730430,0.6892
19730501,0.6891
19730502,0.6891
19730503,0.6882
19730504,0.6872
19730507,0.6855
19730508,0.6881
19730509,0.6898
19730510,0.6888
19730511,0.6902
19730514,0.7002
19730515,0.7045
19730516,0.7022
19730517,0.701
19730518,0.7088
19730521,0.7136
19730522,0.7127
19730523,0.7112
19730524,0.709
19730525,0.7081
19730529,0.7142
19730530,0.722
19730531,0.7248
19730601,0.7307
19730604,0.7498
19730605,0.7512
19730606,0.7394
19730607,0.7398
19730608,0.7461
19730611,0.7434
19730612,0.7489
19730613,0.7443
19730614,0.7519
19730615,0.7585
19730618,0.7639
19730619,0.7618
19730620,0.7618
19730621,0.7653
19730622,0.7656
19730625,0.7659
19730626,0.7742
19730627,0.7771
19730628,0.7942
19730629,0.8039
19730702,0.8146
19730703,0.8243
19730705,0.8453
19730706,0.8574
19730709,0.8359
19730710,0.8177
19730711,0.8151
19730712,0.8192
19730713,0.8203
19730716,0.8297
19730717,0.841
19730718,0.8504
19730719,0.8369
19730720,0.848
19730723,0.8489
19730724,0.8491
19730725,0.8559
19730726,0.8555
19730727,0.8502
19730730,0.8383
19730731,0.8418
19730801,0.8352
19730802,0.8359
19730803,0.8313
19730806,0.8197
19730807,0.8263
19730808,0.8251
19730809,0.8185
19730810,0.8134
19730813,0.8115
19730814,0.7996
19730815,0.7913
19730816,0.79
19730817,0.7895
19730820,0.8094
19730821,0.7947
19730822,0.7913
19730823,0.7888
19730824,0.7948
19730827,0.7916
19730828,0.7919
19730829,0.8015
19730830,0.7951
19730831,0.7944
19730904,0.7977
19730905,0.8039
19730906,0.8015
19730907,0.8085
19730910,0.8045
19730911,0.8009
19730912,0.8028
19730913,0.8001
19730914,0.8013
19730917,0.811
19730918,0.8105
19730919,0.8108
19730920,0.8183
19730921,0.8082
19730924,0.8091
19730925,0.8109
19730926,0.8109
19730927,0.8096
19730928,0.8101
19731001,0.8106
19731002,0.8089
19731003,0.8093
19731004,0.8081
19731005,0.8092
19731009,0.8106
19731010,0.8166
19731011,0.8157
19731012,0.8136
19731015,0.8119
19731016,0.8133
19731017,0.8173
19731018,0.8158
19731019,0.8106
19731023,0.8143
19731024,0.814
19731025,0.8127
19731026,0.8052
19731029,0.7995
19731030,0.8002
19731031,0.7997
19731101,0.7978
19731102,0.7995
19731105,0.7889
19731107,0.765
19731108,0.7652
19731109,0.7603
19731112,0.7455
19731113,0.7481
19731114,0.7575
19731115,0.7505
19731116,0.756
19731119,0.7578
19731120,0.7559
19731121,0.7548
19731123,0.7341
19731126,0.7386
19731127,0.7508
19731128,0.7443
19731129,0.744
19731130,0.7455
19731203,0.7446
19731204,0.7394
19731205,0.7416
19731206,0.7446
19731207,0.7426
19731210,0.7386
19731211,0.7391
19731212,0.7418
19740102,0.7085
19740103,0.7053
19740104,0.7042
19740107,0.6776
19740108,0.6803
19740109,0.7017
19740110,0.708
19740111,0.7037
19740114,0.6949
19740115,0.6906
19740116,0.6971
19740117,0.6897
19740118,0.6952
19740121,0.6909
19740122,0.6863
19740123,0.6824
19740124,0.6893
19740125,0.6881
19740128,0.687
19740129,0.6991
19740130,0.7014
19740131,0.7081
19740201,0.7064
19740204,0.712
19740205,0.7094
19740206,0.7084
19740207,0.7103
19740208,0.7098
19740211,0.7163
19740213,0.7153
19740214,0.716
19740215,0.7178
19740219,0.7258
19740220,0.7312
19740221,0.7335
19740222,0.7361
19740225,0.7307
19740226,0.7348
19740227,0.7299
19740228,0.7307
19740301,0.729
19740304,0.7301
19740305,0.7355
19740306,0.7329
19740307,0.7329
19740308,0.7371
19740311,0.7396
19740312,0.7378
19740313,0.738
19740314,0.7355
19740315,0.738
19740318,0.7393
19740319,0.7421
19740320,0.7537
19740321,0.7661
19740322,0.758
19740325,0.7717
19740326,0.768
19740327,0.7628
19740328,0.7796
19740329,0.7728
19740401,0.7686
19740402,0.7711
19740403,0.7683
19740404,0.7649
19740405,0.7709
19740408,0.7672
19740409,0.7586
19740410,0.7595
19740411,0.7668
19740412,0.7669
19740415,0.766
19740416,0.7643
19740417,0.7708
19740418,0.7733
19740419,0.7734
19740422,0.7785
19740423,0.7848
19740424,0.7889
19740425,0.7852
19740426,0.7923
19740429,0.7983
19740430,0.7956
19740501,0.7958
19740502,0.7942
19740503,0.7951
19740506,0.8026
19740507,0.799
19740508,0.8084
19740509,0.8067
19740510,0.8092
19740513,0.8162
19740514,0.8106
19740515,0.7952
19740516,0.8018
19740517,0.7996
19740520,0.7882
19740521,0.7927
19740522,0.794
19740523,0.7948
19740524,0.7896
19740528,0.781
19740529,0.7659
19740530,0.7697
19740531,0.7747
19740603,0.7779
19740604,0.7781
19740605,0.784
19740606,0.7896
19740607,0.7862
19740610,0.7808
19740611,0.7797
19740612,0.7727
19740613,0.776
19740614,0.777
19740617,0.7767
19740618,0.7751
19740619,0.7734
19740620,0.7722
19740621,0.7686
19740624,0.7579
19740625,0.7674
19740626,0.7653
19740627,0.7669
19740628,0.7675
19740701,0.7632
19740702,0.7692
19740703,0.7701
19740705,0.7676
19740708,0.7667
19740709,0.7661
19740710,0.7645
19740711,0.7635
19740712,0.7655
19740715,0.7681
19740716,0.7659
19740717,0.7682
19740718,0.7679
19740719,0.7668
19740722,0.768
19740723,0.7697
19740724,0.7788
19740725,0.7671
19740726,0.763
19740729,0.7606
19740730,0.7565
19740731,0.7594
19740801,0.7596
19740802,0.7609
19740805,0.7615
19740806,0.7611
19740807,0.7549
19740808,0.7545
19740809,0.7551
19740812,0.7522
19740813,0.7471
19740814,0.75
19740815,0.7482
19740816,0.7438
19740819,0.7399
19740820,0.7425
19740821,0.7416
19740822,0.7398
19740823,0.7408
19740826,0.7424
19740827,0.735
19740828,0.7365
19740829,0.7344
19740830,0.735
19740903,0.7359
19740904,0.7344
19740905,0.7318
19740906,0.7317
19740909,0.733
19740910,0.7356
19740911,0.7334
19740912,0.7338
19740913,0.7334
19740916,0.7339
19740917,0.7392
19740918,0.7384
19740919,0.7345
19740920,0.7351
19740923,0.7373
19740924,0.736
19740925,0.7358
19740926,0.7343
19740927,0.7358
19740930,0.7374
