day,open,high,low,close,volume,T_close,T_low,T_high,BorS
19710104,0.5369,0.5369,0.5369,0.5369,1,0.5366,0.5366,0.5366,0
19710105,0.5366,0.5366,0.5366,0.5366,1,0.5365,0.5365,0.5365,0
19710106,0.5365,0.5365,0.5365,0.5365,1,0.5368,0.5368,0.5368,0
19710107,0.5368,0.5368,0.5368,0.5368,1,0.5371,0.5371,0.5371,0
19710108,0.5371,0.5371,0.5371,0.5371,1,0.5371,0.5371,0.5371,0
19710111,0.5371,0.5371,0.5371,0.5371,1,0.5371,0.5371,0.5371,0
19710112,0.5371,0.5371,0.5371,0.5371,1,0.5373,0.5373,0.5373,0
19710113,0.5373,0.5373,0.5373,0.5373,1,0.5372,0.5372,0.5372,0
19710114,0.5372,0.5372,0.5372,0.5372,1,0.5376,0.5376,0.5376,0
19710115,0.5376,0.5376,0.5376,0.5376,1,0.5379,0.5379,0.5379,0
19710118,0.5379,0.5379,0.5379,0.5379,1,0.5377,0.5377,0.5377,0
19710119,0.5377,0.5377,0.5377,0.5377,1,0.5381,0.5381,0.5381,0
19710120,0.5381,0.5381,0.5381,0.5381,1,0.5383,0.5383,0.5383,0
19710121,0.5383,0.5383,0.5383,0.5383,1,0.5386,0.5386,0.5386,0
19710122,0.5386,0.5386,0.5386,0.5386,1,0.5385,0.5385,0.5385,0
19710125,0.5385,0.5385,0.5385,0.5385,1,0.5388,0.5388,0.5388,0
19710126,0.5388,0.5388,0.5388,0.5388,1,0.5386,0.5386,0.5386,0
19710127,0.5386,0.5386,0.5386,0.5386,1,0.5387,0.5387,0.5387,0
19710128,0.5387,0.5387,0.5387,0.5387,1,0.5387,0.5387,0.5387,0
19710129,0.5387,0.5387,0.5387,0.5387,1,0.5386,0.5386,0.5386,0
19710201,0.5386,0.5386,0.5386,0.5386,1,0.5386,0.5386,0.5386,0
19710202,0.5386,0.5386,0.5386,0.5386,1,0.5386,0.5386,0.5386,0
19710203,0.5386,0.5386,0.5386,0.5386,1,0.5389,0.5389,0.5389,0
19710204,0.5389,0.5389,0.5389,0.5389,1,0.5384,0.5384,0.5384,0
19710205,0.5384,0.5384,0.5384,0.5384,1,0.5385,0.5385,0.5385,0
19710208,0.5385,0.5385,0.5385,0.5385,1,0.5386,0.5386,0.5386,0
