day,open,high,low,close,volume,T_close,T_low,T_high,BorS
20100104,1.43259,1.44543,1.42569,1.44111,45505,1.43624,1.43467,1.4483,0
20100105,1.44107,1.4483,1.43467,1.43624,46686,1.43998,1.42831,1.44338,1
20100106,1.43632,1.44338,1.42831,1.43998,45435,1.43041,1.42994,1.44456,0
20100107,1.44001,1.44456,1.42994,1.43041,44298,1.44085,1.42634,1.44263,1
20100108,1.43039,1.44263,1.42634,1.44085,34425,1.4512,1.44121,1.45545,1
20100111,1.44125,1.45545,1.44121,1.4512,45827,1.4492,1.44537,1.45448,0
20100112,1.45128,1.45448,1.44537,1.4492,46203,1.45052,1.44561,1.45785,1
20100113,1.44918,1.45785,1.44561,1.45052,46521,1.44978,1.44478,1.45547,0
20100114,1.45105,1.45547,1.44478,1.44978,44172,1.43857,1.43365,1.45108,0
20100115,1.44978,1.45108,1.43365,1.43857,47001,1.43872,1.43348,1.43995,1
20100118,1.4348,1.43995,1.43348,1.43872,32948,1.42869,1.42527,1.44131,0
20100119,1.43881,1.44131,1.42527,1.42869,49145,1.41062,1.40818,1.4289,0
20100120,1.42869,1.4289,1.40818,1.41062,56564,1.40837,1.40285,1.41415,0
20100121,1.41062,1.41415,1.40285,1.40837,57999,1.41363,1.40662,1.41807,1
20100122,1.40833,1.41807,1.40662,1.41363,53667,1.41481,1.41278,1.41938,0
20100125,1.41523,1.41938,1.41278,1.41481,42566,1.4077,1.40422,1.41784,0
20100126,1.41476,1.41784,1.40422,1.4077,51832,1.40327,1.39935,1.40963,0
20100127,1.40773,1.40963,1.39935,1.40327,54404,1.39609,1.39464,1.40518,0
20100128,1.40332,1.40518,1.39464,1.39609,52813,1.38611,1.3861,1.3987,0
20100129,1.39616,1.3987,1.3861,1.38611,50938,1.39325,1.38521,1.39376,1
20100201,1.38627,1.39376,1.38521,1.39325,46608,1.39671,1.38858,1.39738,1
20100202,1.39329,1.39738,1.38858,1.39671,43884,1.38912,1.38855,1.40255,0
20100203,1.39675,1.40255,1.38855,1.38912,42636,1.37273,1.37149,1.39023,0
20100204,1.38894,1.39023,1.37149,1.37273,46903,1.36776,1.35854,1.37448,0
20100205,1.37277,1.37448,1.35854,1.36776,57504,1.36552,1.3621,1.37128,0
20100208,1.36561,1.37128,1.3621,1.36552,47960,1.37938,1.36488,1.3838,1
20100209,1.3655,1.3838,1.36488,1.37938,54293,1.37337,1.36767,1.38119,0
20100210,1.37942,1.38119,1.36767,1.37337,50134,1.36885,1.35955,1.38,0
20100211,1.37336,1.38,1.35955,1.36885,47992,1.36309,1.35311,1.36943,0
20100212,1.36885,1.36943,1.35311,1.36309,49239,1.35973,1.35785,1.36322,0
20100215,1.36158,1.36322,1.35785,1.35973,28014,1.37587,1.35879,1.37785,1
20100216,1.35981,1.37785,1.35879,1.37587,46771,1.35993,1.35859,1.37881,0
20100217,1.37595,1.37881,1.35859,1.35993,47572,1.34923,1.34835,1.36537,0
20100218,1.35992,1.36537,1.34835,1.34923,51940,1.36116,1.34433,1.36174,1
20100219,1.34952,1.36174,1.34433,1.36116,50902,1.35996,1.35745,1.36531,0
20100222,1.36133,1.36531,1.35745,1.35996,38772,1.35136,1.34961,1.36913,0
20100223,1.35993,1.36913,1.34961,1.35136,48684,1.35372,1.3502,1.3625,1
20100224,1.35141,1.3625,1.3502,1.35372,45827,1.35383,1.34504,1.35702,1
20100225,1.35372,1.35702,1.34504,1.35383,49405,1.3631,1.353,1.36826,1
20100226,1.35388,1.36826,1.353,1.3631,48710,1.35677,1.34601,1.36541,0
20100301,1.36222,1.36541,1.34601,1.35677,47959,1.36087,1.34349,1.36213,1
20100302,1.35671,1.36213,1.34349,1.36087,48935,1.3694,1.35921,1.37351,1
20100303,1.36092,1.37351,1.35921,1.3694,49643,1.35793,1.35511,1.37117,0
20100304,1.3695,1.37117,1.35511,1.35793,45572,1.36198,1.353,1.36297,1
20100305,1.35793,1.36297,1.353,1.36198,36121,1.36267,1.36056,1.37038,0
20100308,1.36307,1.37038,1.36056,1.36267,31425,1.36013,1.3537,1.36347,0
20100309,1.36266,1.36347,1.3537,1.36013,34288,1.36548,1.3544,1.36793,1
20100310,1.36013,1.36793,1.3544,1.36548,31699,1.36765,1.36206,1.36864,1
20100311,1.36548,1.36864,1.36206,1.36765,30264,1.37678,1.36693,1.37954,1
20100312,1.3677,1.37954,1.36693,1.37678,34667,1.36724,1.36423,1.37746,0
20100315,1.37612,1.37746,1.36423,1.36724,34317,1.37627,1.36566,1.37825,1
20100316,1.36731,1.37825,1.36566,1.37627,38136,1.37353,1.37261,1.38171,0
20100317,1.37642,1.38171,1.37261,1.37353,37087,1.36072,1.35862,1.37402,0
20100318,1.37342,1.37402,1.35862,1.36072,39796,1.35301,1.35029,1.36263,0
20100319,1.36075,1.36263,1.35029,1.35301,35368,1.35578,1.34629,1.35676,1
20100322,1.35174,1.35676,1.34629,1.35578,34603,1.3492,1.34755,1.35687,0
20100323,1.35574,1.35687,1.34755,1.3492,40942,1.33281,1.3305,1.34946,0
20100324,1.34916,1.34946,1.3305,1.33281,46203,1.32735,1.32671,1.33861,0
20100325,1.33276,1.33861,1.32671,1.32735,40724,1.34075,1.32725,1.34231,1
20100326,1.32732,1.34231,1.32725,1.34075,43288,1.34755,1.34172,1.35056,1
20100329,1.34719,1.35056,1.34172,1.34755,37315,1.34194,1.33951,1.35367,0
20100330,1.34756,1.35367,1.33951,1.34194,36027,1.35062,1.33841,1.35477,1
20100331,1.3419,1.35477,1.33841,1.35062,43433,1.35837,1.346,1.35904,1
20100401,1.35065,1.35904,1.346,1.35837,38590,1.3503,1.34748,1.35902,0
20100402,1.3584,1.35902,1.34748,1.3503,20748,1.34818,1.34599,1.35378,0
20100405,1.349,1.35378,1.34599,1.34818,21957,1.33932,1.33551,1.34959,0
20100406,1.34823,1.34959,1.33551,1.33932,37560,1.33388,1.3326,1.34078,0
20100407,1.3393,1.34078,1.3326,1.33388,36007,1.33572,1.32821,1.33657,1
20100408,1.33394,1.33657,1.32821,1.33572,37820,1.34984,1.33414,1.34985,1
20100409,1.3357,1.34985,1.33414,1.34984,37363,1.35858,1.35656,1.36913,0
20100412,1.36107,1.36913,1.35656,1.35858,42221,1.36147,1.35463,1.36267,1
20100413,1.35862,1.36267,1.35463,1.36147,39476,1.36508,1.35959,1.3678,1
20100414,1.36147,1.3678,1.35959,1.36508,43278,1.3579,1.35215,1.36665,0
20100415,1.36516,1.36665,1.35215,1.3579,41184,1.35017,1.34726,1.35806,0
20100416,1.35789,1.35806,1.34726,1.35017,42714,1.34888,1.3416,1.34972,1
20100419,1.34769,1.34972,1.3416,1.34888,37823,1.34403,1.34283,1.35222,0
20100420,1.34887,1.35222,1.34283,1.34403,36069,1.33882,1.33579,1.34467,0
20100421,1.34409,1.34467,1.33579,1.33882,37810,1.32866,1.32651,1.34208,0
20100422,1.33878,1.34208,1.32651,1.32866,42655,1.33811,1.32016,1.3399,1
20100423,1.32875,1.3399,1.32016,1.33811,45949,1.33919,1.32916,1.34147,1
20100426,1.3346,1.34147,1.32916,1.33919,42180,1.31619,1.31445,1.3413,0
20100427,1.33923,1.3413,1.31445,1.31619,51600,1.32052,1.31141,1.32654,1
20100428,1.31644,1.32654,1.31141,1.32052,59113,1.32428,1.31838,1.32777,1
20100429,1.32061,1.32777,1.31838,1.32428,47335,1.32936,1.32248,1.33417,1
20100430,1.32408,1.33417,1.32248,1.32936,43675,1.31888,1.3154,1.33326,0
20100503,1.33296,1.33326,1.3154,1.31888,36212,1.29718,1.29629,1.32131,0
20100504,1.31884,1.32131,1.29629,1.29718,48690,1.28182,1.27891,1.29956,0
20100505,1.29702,1.29956,1.27891,1.28182,57402,1.26296,1.2527,1.28557,0
20100506,1.28191,1.28557,1.2527,1.26296,73442,1.27518,1.2586,1.27973,1
20100507,1.26296,1.27973,1.2586,1.27518,83142,1.27864,1.27588,1.30934,0
20100510,1.29299,1.30934,1.27588,1.27864,78501,1.26328,1.26266,1.28022,0
20100511,1.27867,1.28022,1.26266,1.26328,67118,1.26334,1.26051,1.27383,1
20100512,1.26329,1.27383,1.26051,1.26334,60776,1.25223,1.25159,1.26834,0
20100513,1.263,1.26834,1.25159,1.25223,49365,1.23566,1.23529,1.25753,0
20100514,1.25223,1.25753,1.23529,1.23566,58712,1.23968,1.22332,1.24138,1
20100517,1.23485,1.24138,1.22332,1.23968,149146,1.2171,1.21581,1.24437,0
20100518,1.23971,1.24437,1.21581,1.2171,72967,1.2422,1.21435,1.243,1
20100519,1.21709,1.243,1.21435,1.2422,46987,1.24683,1.22957,1.25969,1
20100520,1.2421,1.25969,1.22957,1.24683,43592,1.25712,1.24628,1.26711,1
20100521,1.2471,1.26711,1.24628,1.25712,61466,1.2344,1.23316,1.25622,0
20100524,1.25461,1.25622,1.23316,1.2344,51026,1.23704,1.21776,1.23877,1
20100525,1.23491,1.23877,1.21776,1.23704,51934,1.21609,1.21537,1.23709,0
