day,open,high,low,close,volume
20190902,1.09899,1.09965,1.09579,1.09696,42316
20190903,1.09658,1.09787,1.09257,1.09733,79803
20190904,1.09737,1.10383,1.09684,1.10348,62939
20190905,1.10348,1.10846,1.10167,1.1034,71471
20190906,1.1034,1.10571,1.10202,1.10245,65458
20190909,1.10256,1.1068,1.10154,1.10477,48319
20190910,1.10474,1.10593,1.10304,1.10432,41989
20190911,1.1043,1.10555,1.09851,1.10102,38930
20190912,1.10102,1.1087,1.09267,1.10643,66013
20190913,1.10643,1.11094,1.10553,1.10697,51145
20190916,1.1072,1.10863,1.09932,1.10003,47575
20190917,1.09998,1.10745,1.09902,1.10725,50330
20190918,1.10723,1.10756,1.10136,1.10299,47198
20190919,1.10298,1.10734,1.10227,1.10408,50700
20190920,1.10408,1.10675,1.09962,1.10187,48550
20190923,1.1012,1.10253,1.0966,1.09925,47909
20190924,1.09927,1.10239,1.09837,1.10193,47238
20190925,1.10192,1.10228,1.09373,1.09419,50810
20190926,1.09415,1.09673,1.09087,1.09198,46381
20190927,1.09201,1.09586,1.09038,1.09409,45273
20190930,1.09405,1.09477,1.08853,1.0898,58563
20191001,1.08986,1.09428,1.08789,1.0933,70664
20191002,1.09319,1.09634,1.0904,1.09587,59095
20191003,1.09617,1.09991,1.09408,1.09626,70983
20191004,1.09628,1.1,1.09569,1.09768,60707
